V1	V2	V3	V4	V5
8.155043739023295	9.738854177058386	10.06440250674628	10.123380263306462	10.02308199247569
8.443123598091642	10.109799990213173	8.150673578431718	8.194518360829429	8.216811089226518
9.004845836895436	8.065886102530188	8.202719179622632	8.19798343169164	8.215290438220753
9.10854884789873	8.003835930217045	8.21434622442176	8.188104909408544	8.199211343949294
9.482201946111143	8.063349863547565	8.194700447470204	8.205222786302425	8.252334478115925
9.783684628500287	8.086885479335637	8.081262450060054	8.199249389981613	8.233518468232933
10.068852465144545	8.145798017543507	8.17208206697705	8.212387510297942	8.197742284070685
10.135185671929163	8.28385534055848	8.11693102415947	8.172940242425435	8.218388449036787
10.148134680010532	8.290805659823393	8.288130546581101	8.162091548799037	8.145073425361115
9.99182476000867	8.2987829090406091	8.25981115592739	8.165480389955988	8.162885722086315
