model	BIC
1,0,0,0,1,1	5.90660181401635
1,0,0,1,1,1	5.91336916773891
1,0,0,0,1,2	5.91444517228324
1,0,0,1,1,2	5.9217388787192196
0,0,2,1,1,0	5.93072691923106
0,0,1,2,1,1	5.94451614867047
0,0,1,2,1,2	5.9464985949818
0,0,1,3,1,1	5.95433100232491
0,0,1,1,1,3	5.95482409455292
0,0,1,2,1,3	5.9584392407502
0,0,1,1,1,2	5.97167055658488
0,0,1,1,1,1	5.98199669643547
0,0,1,0,1,2	5.99256818330306
0,0,1,0,1,1	6.0027896581198
1,0,0,3,1,0	6.0680409732322
3,0,1,0,1,0	6.07056207943535
3,0,2,0,1,0	6.07842062121439
3,0,3,0,1,0	6.08651962558685
1,0,0,2,1,0	6.09358120327332
2,0,1,0,1,0	6.10963770911304
3,0,0,0,1,0	6.10993946458522
1,0,0,1,1,0	6.11272732602513
2,0,0,0,1,0	6.11327026361248
1,0,3,0,1,0	6.11924023949554
2,0,2,0,1,0	6.11993186742187
2,0,3,0,1,0	6.12321653605746
1,0,2,0,1,0	6.14297904430654
0,0,1,3,1,0	6.14948523007101
1,0,1,0,1,0	6.1627972884068
0,0,1,2,1,0	6.17240396714546
0,0,1,1,1,0	6.17933619466206
0,0,2,0,1,0	6.22337190813563
0,0,1,0,1,0	6.45809762954593
1,0,0,0,1,0	6.47221245795727
0,0,0,3,1,3	6.65689648363941
0,0,0,3,1,2	6.75445413847286
0,0,0,2,1,2	6.82071555396443
0,0,0,3,1,1	6.82362118873562
0,0,0,2,1,1	6.82820892429771
0,0,0,1,1,3	6.8292988470422
0,0,0,2,1,3	6.83411202682064
0,0,0,1,1,2	6.8704164540577
0,0,0,1,1,1	6.88005851546956
0,0,0,0,1,2	6.8924165243196
0,0,0,0,1,1	6.90340446721424
0,0,0,3,1,0	7.03422104878585
0,0,0,1,1,0	7.04429360034252
0,0,0,2,1,0	7.04979252194611
0,0,0,0,1,0	7.35517415708975
3,0,0,3,1,2	NA
3,0,1,3,1,3	NA
