V1	V2	V3	V4	V5
11.582173006006997	13.644791827545966	13.445648374688437	13.260775552441581	13.00667812749362
12.108725545094416	12.930453296362213	11.579792676766312	11.743070886737055	11.793776768094807
12.23338818018791	11.209861470876902	11.78375478541669	11.547548607158513	11.753111367127142
13.490812891581449	11.197038713709862	11.138799727997844	11.839915061511856	11.796137902526
13.537770542020555	11.89737360814422	11.981592320149797	11.765408832811614	11.776983141463017
13.575043594840233	11.967520003814268	11.812542962172886	11.90703518604686	11.643596378634959
13.749862179927517	11.991172828331326	11.99088526211282	12.044499867611288	12.068209973135044
13.62701360964302	11.994978649577453	11.94242521327241	12.009202970810467	11.650052534072088
13.495317163433793	11.960279739137173	11.955302071815446	11.945010994102692	11.82143031048419
13.118137208019972	11.987363442462755	11.957765479813824	11.941354641597114	11.996425993016565
